student_id,weakest_sub,weakest_sub_enc,addition_score,addition_ratio,addition_correct,comparing_fractions_score,comparing_fractions_ratio,comparing_fractions_correct,division_score,division_ratio,division_correct,fraction_to_decimal_score,fraction_to_decimal_ratio,fraction_to_decimal_correct,multiplication_score,multiplication_ratio,multiplication_correct,ordering_fractions_score,ordering_fractions_ratio,ordering_fractions_correct,simplifying_fractions_score,simplifying_fractions_ratio,simplifying_fractions_correct,subtraction_score,subtraction_ratio,subtraction_correct
S01310,Comparing Fractions,1,10,0.5,2,4,0.2,0,14,0.7,3,8,0.4,1,14,0.7,3,20,1.0,5,18,0.9,4,12,0.6,2
S05537,Multiplication,4,14,0.7,3,8,0.4,2,12,0.6,3,10,0.5,2,0,0.0,0,8,0.4,2,16,0.8,4,4,0.2,1
S00317,Multiplication,4,6,0.3,1,14,0.7,3,16,0.8,4,6,0.3,0,6,0.3,1,16,0.8,4,16,0.8,4,20,1.0,5
S00524,Comparing Fractions,1,10,0.5,2,8,0.4,2,10,0.5,2,14,0.7,3,18,0.9,4,18,0.9,4,16,0.8,4,10,0.5,2
S03107,Ordering Fractions,5,18,0.9,4,14,0.7,3,12,0.6,3,14,0.7,3,16,0.8,4,6,0.3,1,14,0.7,3,12,0.6,3
S01301,Subtraction,7,6,0.3,1,14,0.7,3,14,0.7,3,6,0.3,1,12,0.6,3,14,0.7,3,14,0.7,3,4,0.2,0
S00343,Fraction to Decimal,3,20,1.0,5,20,1.0,5,14,0.7,3,6,0.3,1,16,0.8,4,16,0.8,4,12,0.6,3,8,0.4,2
S01674,Fraction to Decimal,3,10,0.5,2,14,0.7,3,14,0.7,3,10,0.5,2,12,0.6,3,16,0.8,3,10,0.5,2,18,0.9,4
S04258,Addition,0,2,0.1,0,18,0.9,4,8,0.4,1,10,0.5,2,8,0.4,1,14,0.7,3,8,0.4,2,14,0.7,3
S01819,Multiplication,4,10,0.5,2,18,0.9,4,12,0.6,2,10,0.5,2,0,0.0,0,10,0.5,2,8,0.4,2,12,0.6,2
S01582,Subtraction,7,20,1.0,5,10,0.5,2,8,0.4,1,16,0.8,3,8,0.4,1,20,1.0,5,16,0.8,4,8,0.4,1
S00285,Ordering Fractions,5,20,1.0,5,12,0.6,2,14,0.7,3,10,0.5,2,10,0.5,2,10,0.5,2,18,0.9,4,10,0.5,2
S04436,Subtraction,7,12,0.6,2,14,0.7,3,16,0.8,4,12,0.6,3,16,0.8,3,12,0.6,2,12,0.6,3,8,0.4,2
S03350,Ordering Fractions,5,12,0.6,3,18,0.9,4,18,0.9,4,18,0.9,4,14,0.7,3,6,0.3,0,14,0.7,3,12,0.6,3
S03589,Fraction to Decimal,3,8,0.4,1,12,0.6,3,12,0.6,3,4,0.2,1,10,0.5,2,20,1.0,5,20,1.0,5,12,0.6,3
S00024,Subtraction,7,10,0.5,2,12,0.6,3,12,0.6,2,12,0.6,2,10,0.5,2,12,0.6,3,12,0.6,2,8,0.4,2
S03644,Subtraction,7,10,0.5,1,8,0.4,2,16,0.8,4,16,0.8,3,10,0.5,2,12,0.6,3,12,0.6,2,8,0.4,1
S01963,Simplifying Fractions,6,12,0.6,3,12,0.6,2,14,0.7,3,10,0.5,1,10,0.5,2,10,0.5,2,8,0.4,2,18,0.9,4
S03229,Simplifying Fractions,6,16,0.8,4,4,0.2,0,12,0.6,2,8,0.4,1,14,0.7,3,12,0.6,3,4,0.2,0,8,0.4,2
S00902,Simplifying Fractions,6,8,0.4,2,16,0.8,4,16,0.8,3,14,0.7,3,14,0.7,3,8,0.4,2,4,0.2,0,6,0.3,1
S04229,Comparing Fractions,1,12,0.6,3,8,0.4,1,16,0.8,4,10,0.5,2,12,0.6,3,12,0.6,2,18,0.9,4,12,0.6,3
S04104,Addition,0,4,0.2,0,18,0.9,4,8,0.4,1,6,0.3,0,10,0.5,2,12,0.6,2,12,0.6,3,14,0.7,3
S06059,Subtraction,7,16,0.8,4,8,0.4,2,16,0.8,4,12,0.6,3,20,1.0,5,16,0.8,4,8,0.4,2,4,0.2,1
S06210,Division,2,12,0.6,3,12,0.6,3,4,0.2,1,8,0.4,2,20,1.0,5,20,1.0,5,8,0.4,2,16,0.8,4
S04639,Division,2,20,1.0,5,12,0.6,3,6,0.3,1,18,0.9,4,20,1.0,5,8,0.4,2,12,0.6,3,8,0.4,2
S05739,Ordering Fractions,5,20,1.0,5,12,0.6,3,8,0.4,2,8,0.4,2,16,0.8,4,4,0.2,1,20,1.0,5,8,0.4,2
S00076,Subtraction,7,6,0.3,1,16,0.8,4,8,0.4,2,16,0.8,4,8,0.4,1,12,0.6,3,16,0.8,3,6,0.3,1
S05734,Subtraction,7,12,0.6,3,12,0.6,3,12,0.6,3,10,0.5,2,16,0.8,4,8,0.4,2,14,0.7,3,6,0.3,1
S01832,Ordering Fractions,5,12,0.6,2,12,0.6,3,12,0.6,2,10,0.5,1,10,0.5,2,8,0.4,2,10,0.5,2,14,0.7,3
S03281,Simplifying Fractions,6,16,0.8,4,18,0.9,4,12,0.6,3,14,0.7,3,14,0.7,3,16,0.8,4,10,0.5,2,16,0.8,4
S00316,Simplifying Fractions,6,12,0.6,3,10,0.5,2,14,0.7,3,14,0.7,3,8,0.4,2,16,0.8,4,8,0.4,1,16,0.8,3
S03544,Multiplication,4,14,0.7,3,16,0.8,4,14,0.7,3,16,0.8,4,10,0.5,2,16,0.8,4,20,1.0,5,14,0.7,3
S02427,Ordering Fractions,5,16,0.8,3,16,0.8,4,16,0.8,4,8,0.4,2,8,0.4,1,0,0.0,0,12,0.6,2,18,0.9,4
S00782,Division,2,12,0.6,3,16,0.8,4,10,0.5,2,10,0.5,2,14,0.7,3,12,0.6,3,16,0.8,4,14,0.7,3
S05883,Subtraction,7,12,0.6,3,20,1.0,5,16,0.8,4,18,0.9,4,18,0.9,4,14,0.7,3,10,0.5,2,4,0.2,1
S00764,Ordering Fractions,5,18,0.9,4,8,0.4,2,8,0.4,1,6,0.3,1,4,0.2,0,2,0.1,0,14,0.7,3,2,0.1,0
S01877,Division,2,12,0.6,3,12,0.6,2,8,0.4,2,12,0.6,3,8,0.4,1,20,1.0,5,8,0.4,2,12,0.6,3
S01050,Division,2,10,0.5,2,8,0.4,1,6,0.3,1,12,0.6,3,8,0.4,2,14,0.7,3,12,0.6,3,8,0.4,2
S03452,Simplifying Fractions,6,12,0.6,3,16,0.8,4,20,1.0,5,12,0.6,2,18,0.9,4,16,0.8,4,6,0.3,1,6,0.3,1
S02404,Fraction to Decimal,3,16,0.8,4,16,0.8,4,14,0.7,3,10,0.5,2,14,0.7,3,16,0.8,4,12,0.6,3,18,0.9,4
S04946,Fraction to Decimal,3,12,0.6,3,20,1.0,5,20,1.0,5,6,0.3,1,14,0.7,3,18,0.9,4,14,0.7,3,10,0.5,1
S04107,Ordering Fractions,5,12,0.6,3,8,0.4,2,16,0.8,4,16,0.8,3,14,0.7,3,4,0.2,0,16,0.8,3,6,0.3,1
S05792,Multiplication,4,12,0.6,3,4,0.2,1,6,0.3,1,16,0.8,4,0,0.0,0,16,0.8,4,18,0.9,4,12,0.6,3
S02025,Addition,0,6,0.3,1,12,0.6,2,14,0.7,3,8,0.4,2,12,0.6,3,12,0.6,3,14,0.7,3,16,0.8,3
S01621,Subtraction,7,8,0.4,1,10,0.5,1,10,0.5,2,6,0.3,1,12,0.6,3,8,0.4,1,16,0.8,4,0,0.0,0
S02975,Multiplication,4,12,0.6,2,14,0.7,3,14,0.7,3,12,0.6,1,8,0.4,1,14,0.7,2,10,0.5,2,16,0.8,4
S04973,Addition,0,4,0.2,1,8,0.4,2,14,0.7,3,8,0.4,1,16,0.8,4,10,0.5,2,16,0.8,4,12,0.6,3
S04902,Multiplication,4,16,0.8,4,18,0.9,4,12,0.6,3,16,0.8,3,6,0.3,1,20,1.0,5,14,0.7,3,12,0.6,3
S01506,Fraction to Decimal,3,16,0.8,4,8,0.4,2,20,1.0,5,8,0.4,2,16,0.8,3,18,0.9,4,12,0.6,3,16,0.8,4
S04592,Simplifying Fractions,6,8,0.4,1,14,0.7,3,10,0.5,2,16,0.8,3,12,0.6,3,20,1.0,5,6,0.3,1,6,0.3,1
S06356,Addition,0,0,0.0,0,8,0.4,2,12,0.6,3,4,0.2,1,20,1.0,5,4,0.2,1,4,0.2,1,4,0.2,1
S01910,Division,2,14,0.7,3,12,0.6,2,8,0.4,2,10,0.5,2,14,0.7,3,12,0.6,3,10,0.5,1,18,0.9,4
S00115,Comparing Fractions,1,12,0.6,1,4,0.2,1,18,0.9,4,8,0.4,1,16,0.8,4,16,0.8,4,10,0.5,2,8,0.4,1
S03790,Fraction to Decimal,3,12,0.6,2,8,0.4,2,18,0.9,4,8,0.4,1,18,0.9,4,16,0.8,4,16,0.8,4,12,0.6,3
S04585,Ordering Fractions,5,18,0.9,4,14,0.7,3,10,0.5,2,14,0.7,3,16,0.8,4,6,0.3,1,10,0.5,2,8,0.4,2
S03806,Division,2,16,0.8,4,14,0.7,3,10,0.5,1,16,0.8,4,14,0.7,3,16,0.8,4,12,0.6,2,14,0.7,3
S05386,Division,2,20,1.0,5,16,0.8,4,0,0.0,0,12,0.6,3,4,0.2,1,10,0.5,2,8,0.4,2,12,0.6,3
S06172,Addition,0,4,0.2,1,4,0.2,1,8,0.4,2,12,0.6,3,12,0.6,3,8,0.4,2,4,0.2,1,12,0.6,3
S02116,Addition,0,4,0.2,1,12,0.6,3,10,0.5,2,18,0.9,4,8,0.4,2,20,1.0,5,10,0.5,2,16,0.8,3
S05237,Ordering Fractions,5,20,1.0,5,12,0.6,3,16,0.8,4,12,0.6,3,16,0.8,4,4,0.2,1,14,0.7,3,8,0.4,2
S02757,Division,2,14,0.7,3,12,0.6,2,4,0.2,0,6,0.3,1,18,0.9,4,6,0.3,1,12,0.6,3,4,0.2,1
S02052,Subtraction,7,10,0.5,2,16,0.8,4,16,0.8,4,12,0.6,2,12,0.6,2,16,0.8,4,12,0.6,3,8,0.4,1
S00132,Comparing Fractions,1,10,0.5,2,6,0.3,1,18,0.9,4,16,0.8,4,10,0.5,2,16,0.8,4,8,0.4,2,14,0.7,3
S05701,Fraction to Decimal,3,8,0.4,2,12,0.6,3,6,0.3,1,4,0.2,1,8,0.4,2,18,0.9,4,8,0.4,2,8,0.4,2
S02228,Fraction to Decimal,3,8,0.4,2,4,0.2,1,16,0.8,4,4,0.2,1,12,0.6,3,12,0.6,3,10,0.5,2,10,0.5,2
S05045,Multiplication,4,10,0.5,2,16,0.8,4,14,0.7,3,12,0.6,3,4,0.2,1,14,0.7,3,16,0.8,4,16,0.8,4
S05034,Subtraction,7,6,0.3,1,10,0.5,2,16,0.8,4,12,0.6,3,8,0.4,2,4,0.2,1,20,1.0,5,4,0.2,1
S00271,Multiplication,4,14,0.7,3,10,0.5,2,12,0.6,3,12,0.6,3,8,0.4,1,16,0.8,3,10,0.5,2,12,0.6,2
S00445,Fraction to Decimal,3,20,1.0,5,18,0.9,4,18,0.9,4,8,0.4,2,12,0.6,3,14,0.7,3,18,0.9,4,14,0.7,3
S04651,Subtraction,7,12,0.6,3,12,0.6,2,14,0.7,3,14,0.7,3,4,0.2,1,14,0.7,3,16,0.8,4,4,0.2,1
S03365,Subtraction,7,6,0.3,1,12,0.6,3,6,0.3,1,4,0.2,1,12,0.6,3,18,0.9,4,12,0.6,1,0,0.0,0
S01326,Multiplication,4,12,0.6,3,8,0.4,1,12,0.6,3,12,0.6,2,4,0.2,0,14,0.7,3,10,0.5,1,12,0.6,2
S05145,Simplifying Fractions,6,6,0.3,1,16,0.8,4,4,0.2,1,8,0.4,2,6,0.3,1,4,0.2,1,4,0.2,1,8,0.4,2
S01918,Ordering Fractions,5,14,0.7,3,6,0.3,1,18,0.9,4,14,0.7,3,8,0.4,1,2,0.1,0,12,0.6,3,14,0.7,3
S02592,Ordering Fractions,5,16,0.8,3,18,0.9,4,16,0.8,4,14,0.7,3,16,0.8,4,8,0.4,2,14,0.7,3,12,0.6,3
S01787,Comparing Fractions,1,16,0.8,4,4,0.2,1,12,0.6,3,10,0.5,2,10,0.5,2,12,0.6,2,12,0.6,3,18,0.9,4
S03585,Comparing Fractions,1,14,0.7,3,4,0.2,0,6,0.3,1,10,0.5,2,10,0.5,2,16,0.8,4,14,0.7,3,8,0.4,2
S00882,Subtraction,7,8,0.4,1,10,0.5,2,20,1.0,5,20,1.0,5,12,0.6,3,8,0.4,2,10,0.5,2,4,0.2,1
S02034,Multiplication,4,10,0.5,1,8,0.4,1,12,0.6,2,12,0.6,3,2,0.1,0,14,0.7,2,16,0.8,3,20,1.0,5
S03118,Fraction to Decimal,3,14,0.7,2,12,0.6,2,12,0.6,3,8,0.4,2,10,0.5,1,8,0.4,1,18,0.9,4,12,0.6,3
S01362,Ordering Fractions,5,12,0.6,2,8,0.4,2,8,0.4,2,6,0.3,1,12,0.6,3,6,0.3,1,8,0.4,2,8,0.4,1
S04588,Simplifying Fractions,6,16,0.8,4,14,0.7,3,12,0.6,3,10,0.5,1,16,0.8,3,12,0.6,3,8,0.4,2,16,0.8,4
S00074,Ordering Fractions,5,10,0.5,2,20,1.0,5,14,0.7,3,16,0.8,4,12,0.6,3,6,0.3,0,8,0.4,1,20,1.0,5
S00093,Division,2,12,0.6,3,14,0.7,3,6,0.3,1,10,0.5,2,16,0.8,4,8,0.4,2,12,0.6,2,20,1.0,5
S00791,Fraction to Decimal,3,16,0.8,4,16,0.8,4,18,0.9,4,6,0.3,1,12,0.6,2,16,0.8,4,16,0.8,4,14,0.7,3
S01397,Addition,0,8,0.4,2,18,0.9,4,14,0.7,3,10,0.5,2,8,0.4,1,16,0.8,4,10,0.5,2,10,0.5,1
S00436,Division,2,20,1.0,5,8,0.4,1,6,0.3,1,12,0.6,2,8,0.4,2,20,1.0,5,12,0.6,2,18,0.9,4
S00303,Fraction to Decimal,3,6,0.3,0,12,0.6,3,8,0.4,1,4,0.2,1,14,0.7,3,6,0.3,1,12,0.6,2,8,0.4,2
S05797,Comparing Fractions,1,16,0.8,4,8,0.4,2,8,0.4,2,8,0.4,2,14,0.7,3,16,0.8,4,16,0.8,4,12,0.6,3
S03091,Addition,0,4,0.2,0,14,0.7,3,10,0.5,1,14,0.7,2,6,0.3,0,6,0.3,1,10,0.5,2,8,0.4,1
S04769,Ordering Fractions,5,12,0.6,3,12,0.6,3,10,0.5,2,12,0.6,3,6,0.3,1,4,0.2,1,6,0.3,1,10,0.5,1
S03064,Comparing Fractions,1,12,0.6,3,10,0.5,2,10,0.5,2,12,0.6,3,16,0.8,4,18,0.9,4,14,0.7,3,16,0.8,3
S05938,Addition,0,0,0.0,0,4,0.2,1,14,0.7,3,6,0.3,1,4,0.2,1,8,0.4,2,10,0.5,2,10,0.5,2
S04969,Simplifying Fractions,6,6,0.3,1,8,0.4,2,12,0.6,3,8,0.4,2,8,0.4,2,4,0.2,1,2,0.1,0,8,0.4,1
S00533,Addition,0,12,0.6,3,14,0.7,3,14,0.7,3,12,0.6,3,14,0.7,3,16,0.8,4,18,0.9,4,14,0.7,2
S00805,Fraction to Decimal,3,14,0.7,3,8,0.4,1,12,0.6,3,8,0.4,2,8,0.4,1,8,0.4,2,8,0.4,1,10,0.5,2
S02171,Simplifying Fractions,6,18,0.9,4,14,0.7,3,16,0.8,3,14,0.7,3,10,0.5,1,14,0.7,3,6,0.3,1,10,0.5,2
S02564,Division,2,16,0.8,4,14,0.7,3,6,0.3,1,16,0.8,4,12,0.6,2,12,0.6,3,12,0.6,3,10,0.5,2
S01307,Comparing Fractions,1,10,0.5,2,4,0.2,0,8,0.4,2,14,0.7,3,10,0.5,1,10,0.5,2,12,0.6,3,10,0.5,1
S05108,Simplifying Fractions,6,20,1.0,5,6,0.3,1,4,0.2,1,4,0.2,1,4,0.2,1,16,0.8,4,2,0.1,0,6,0.3,1
S00349,Multiplication,4,12,0.6,3,14,0.7,3,12,0.6,3,14,0.7,3,4,0.2,1,14,0.7,3,14,0.7,3,12,0.6,2
S04095,Multiplication,4,16,0.8,4,10,0.5,2,12,0.6,3,6,0.3,1,4,0.2,1,8,0.4,2,14,0.7,3,12,0.6,2
S02778,Multiplication,4,14,0.7,3,8,0.4,2,16,0.8,4,10,0.5,2,6,0.3,1,20,1.0,5,6,0.3,1,20,1.0,5
S04047,Comparing Fractions,1,12,0.6,3,6,0.3,1,18,0.9,4,12,0.6,2,10,0.5,2,12,0.6,2,14,0.7,3,16,0.8,4
S04366,Ordering Fractions,5,12,0.6,3,14,0.7,3,14,0.7,3,12,0.6,2,8,0.4,1,0,0.0,0,10,0.5,2,20,1.0,5
S02125,Subtraction,7,8,0.4,1,4,0.2,1,8,0.4,2,14,0.7,3,16,0.8,4,6,0.3,1,4,0.2,1,2,0.1,0
S03712,Addition,0,6,0.3,1,8,0.4,2,10,0.5,2,16,0.8,3,18,0.9,4,12,0.6,2,10,0.5,2,12,0.6,3
S00096,Ordering Fractions,5,8,0.4,2,10,0.5,2,16,0.8,3,10,0.5,1,14,0.7,3,6,0.3,1,14,0.7,3,12,0.6,2
S02723,Fraction to Decimal,3,14,0.7,3,14,0.7,3,18,0.9,4,4,0.2,0,10,0.5,2,14,0.7,3,12,0.6,3,18,0.9,4
S03223,Subtraction,7,14,0.7,3,10,0.5,2,16,0.8,4,12,0.6,3,10,0.5,2,16,0.8,4,14,0.7,3,8,0.4,2
S06189,Subtraction,7,12,0.6,3,12,0.6,3,8,0.4,2,8,0.4,2,8,0.4,2,12,0.6,3,8,0.4,2,4,0.2,1
S02733,Multiplication,4,18,0.9,4,12,0.6,2,12,0.6,2,12,0.6,3,8,0.4,1,8,0.4,1,12,0.6,3,14,0.7,2
S00239,Addition,0,8,0.4,2,12,0.6,3,20,1.0,5,10,0.5,2,12,0.6,2,12,0.6,3,12,0.6,3,14,0.7,3
S00639,Simplifying Fractions,6,12,0.6,3,16,0.8,4,14,0.7,3,18,0.9,4,12,0.6,3,16,0.8,4,8,0.4,1,14,0.7,3
S01569,Fraction to Decimal,3,12,0.6,3,12,0.6,3,10,0.5,2,8,0.4,1,10,0.5,2,12,0.6,2,12,0.6,2,16,0.8,4
S00553,Simplifying Fractions,6,14,0.7,3,20,1.0,5,10,0.5,2,14,0.7,3,16,0.8,4,18,0.9,4,8,0.4,2,16,0.8,3
S04200,Subtraction,7,10,0.5,2,12,0.6,3,12,0.6,2,6,0.3,1,18,0.9,4,14,0.7,3,14,0.7,3,6,0.3,1
S00011,Division,2,8,0.4,2,10,0.5,2,6,0.3,1,12,0.6,3,10,0.5,2,10,0.5,2,8,0.4,1,14,0.7,2
S03121,Addition,0,2,0.1,0,8,0.4,2,10,0.5,2,4,0.2,1,14,0.7,3,8,0.4,1,6,0.3,0,14,0.7,3
S06299,Simplifying Fractions,6,16,0.8,4,12,0.6,3,8,0.4,2,8,0.4,2,16,0.8,4,16,0.8,4,4,0.2,1,12,0.6,3
S01146,Simplifying Fractions,6,12,0.6,3,16,0.8,3,14,0.7,3,8,0.4,2,14,0.7,3,12,0.6,3,8,0.4,2,12,0.6,2
S03252,Multiplication,4,16,0.8,3,18,0.9,4,18,0.9,4,8,0.4,2,6,0.3,0,10,0.5,2,16,0.8,4,16,0.8,4
S04317,Ordering Fractions,5,10,0.5,2,12,0.6,2,14,0.7,3,4,0.2,1,12,0.6,3,0,0.0,0,12,0.6,3,10,0.5,1
S01519,Comparing Fractions,1,6,0.3,1,4,0.2,1,12,0.6,3,8,0.4,0,12,0.6,3,12,0.6,2,18,0.9,4,12,0.6,2
S00467,Fraction to Decimal,3,6,0.3,1,12,0.6,3,18,0.9,4,6,0.3,1,14,0.7,3,20,1.0,5,12,0.6,2,12,0.6,2
S04693,Addition,0,2,0.1,0,12,0.6,2,8,0.4,2,10,0.5,2,8,0.4,2,6,0.3,1,10,0.5,2,8,0.4,2
S01233,Comparing Fractions,1,12,0.6,2,6,0.3,0,14,0.7,3,18,0.9,4,16,0.8,4,6,0.3,1,10,0.5,2,18,0.9,4
S02515,Fraction to Decimal,3,16,0.8,4,4,0.2,1,10,0.5,2,2,0.1,0,10,0.5,2,10,0.5,1,14,0.7,3,10,0.5,1
S03303,Addition,0,6,0.3,1,10,0.5,2,8,0.4,1,10,0.5,2,16,0.8,4,16,0.8,4,12,0.6,3,16,0.8,4
S02236,Fraction to Decimal,3,12,0.6,3,10,0.5,2,12,0.6,2,6,0.3,1,16,0.8,3,8,0.4,2,10,0.5,1,12,0.6,3
S05303,Division,2,8,0.4,2,12,0.6,3,6,0.3,1,12,0.6,3,12,0.6,3,14,0.7,3,14,0.7,3,8,0.4,2
S05596,Division,2,12,0.6,3,8,0.4,2,4,0.2,1,20,1.0,5,12,0.6,3,10,0.5,2,8,0.4,2,18,0.9,4
S03266,Subtraction,7,14,0.7,2,10,0.5,2,16,0.8,4,12,0.6,3,12,0.6,2,14,0.7,2,16,0.8,4,4,0.2,0
S03257,Addition,0,2,0.1,0,4,0.2,1,18,0.9,4,8,0.4,2,20,1.0,5,10,0.5,2,18,0.9,4,12,0.6,2
S03738,Subtraction,7,12,0.6,3,18,0.9,4,16,0.8,4,12,0.6,3,12,0.6,3,16,0.8,4,16,0.8,3,8,0.4,2
S00433,Division,2,16,0.8,4,12,0.6,3,8,0.4,2,10,0.5,2,16,0.8,4,14,0.7,3,14,0.7,3,16,0.8,4
S03818,Comparing Fractions,1,10,0.5,2,8,0.4,2,8,0.4,2,14,0.7,3,12,0.6,3,16,0.8,3,12,0.6,2,10,0.5,2
S06114,Multiplication,4,4,0.2,1,12,0.6,3,0,0.0,0,12,0.6,3,0,0.0,0,12,0.6,3,12,0.6,3,16,0.8,4
S02513,Division,2,14,0.7,3,10,0.5,2,4,0.2,0,16,0.8,4,12,0.6,3,14,0.7,3,16,0.8,4,20,1.0,5
S01941,Subtraction,7,12,0.6,3,10,0.5,2,16,0.8,4,10,0.5,2,12,0.6,2,16,0.8,4,10,0.5,2,6,0.3,1
S00995,Comparing Fractions,1,12,0.6,2,8,0.4,2,10,0.5,2,16,0.8,3,18,0.9,4,12,0.6,3,14,0.7,3,10,0.5,2
S01742,Multiplication,4,14,0.7,3,10,0.5,2,12,0.6,1,14,0.7,3,8,0.4,2,10,0.5,2,10,0.5,1,16,0.8,4
S01235,Multiplication,4,16,0.8,4,14,0.7,3,14,0.7,3,14,0.7,3,4,0.2,1,16,0.8,4,12,0.6,3,8,0.4,2
S02374,Addition,0,4,0.2,1,6,0.3,0,12,0.6,3,8,0.4,1,16,0.8,4,8,0.4,2,16,0.8,3,8,0.4,0
S01406,Subtraction,7,12,0.6,2,16,0.8,3,12,0.6,3,12,0.6,3,16,0.8,4,20,1.0,5,20,1.0,5,12,0.6,3
S01295,Ordering Fractions,5,18,0.9,4,10,0.5,1,4,0.2,1,8,0.4,1,8,0.4,1,2,0.1,0,16,0.8,4,12,0.6,3
S00625,Ordering Fractions,5,16,0.8,3,12,0.6,3,14,0.7,3,16,0.8,3,14,0.7,3,8,0.4,2,18,0.9,4,10,0.5,2
S03142,Addition,0,4,0.2,1,16,0.8,4,8,0.4,1,10,0.5,2,8,0.4,2,14,0.7,3,14,0.7,3,16,0.8,4
S05928,Comparing Fractions,1,6,0.3,1,0,0.0,0,8,0.4,2,10,0.5,2,4,0.2,1,18,0.9,4,12,0.6,3,8,0.4,2
S00372,Comparing Fractions,1,8,0.4,2,6,0.3,1,8,0.4,1,12,0.6,2,12,0.6,2,8,0.4,1,14,0.7,3,10,0.5,2
S01249,Addition,0,0,0.0,0,20,1.0,5,14,0.7,3,12,0.6,3,16,0.8,4,10,0.5,2,14,0.7,3,14,0.7,3
S01285,Fraction to Decimal,3,12,0.6,3,12,0.6,2,14,0.7,2,6,0.3,1,16,0.8,3,14,0.7,3,10,0.5,2,12,0.6,2
S03433,Fraction to Decimal,3,8,0.4,2,18,0.9,4,14,0.7,3,6,0.3,1,10,0.5,2,18,0.9,4,10,0.5,2,12,0.6,2
S05762,Comparing Fractions,1,12,0.6,3,4,0.2,1,8,0.4,2,4,0.2,1,12,0.6,3,10,0.5,2,20,1.0,5,8,0.4,2
S01805,Subtraction,7,12,0.6,3,10,0.5,2,14,0.7,3,16,0.8,3,18,0.9,4,14,0.7,3,14,0.7,3,8,0.4,2
S03989,Subtraction,7,8,0.4,1,8,0.4,1,20,1.0,5,12,0.6,2,16,0.8,3,14,0.7,3,12,0.6,2,0,0.0,0
S06105,Simplifying Fractions,6,0,0.0,0,20,1.0,5,8,0.4,2,16,0.8,4,12,0.6,3,8,0.4,2,0,0.0,0,16,0.8,4
S03055,Addition,0,6,0.3,1,12,0.6,3,10,0.5,2,8,0.4,2,12,0.6,2,12,0.6,3,10,0.5,2,16,0.8,4
S00189,Multiplication,4,4,0.2,1,6,0.3,1,14,0.7,3,10,0.5,2,4,0.2,1,14,0.7,3,18,0.9,4,6,0.3,1
S02200,Comparing Fractions,1,10,0.5,1,4,0.2,1,10,0.5,2,12,0.6,2,8,0.4,2,10,0.5,2,10,0.5,2,14,0.7,3
S02011,Comparing Fractions,1,4,0.2,1,4,0.2,1,16,0.8,4,4,0.2,0,16,0.8,4,6,0.3,1,10,0.5,2,10,0.5,2
S02953,Fraction to Decimal,3,10,0.5,2,16,0.8,3,14,0.7,2,4,0.2,0,10,0.5,2,12,0.6,3,8,0.4,1,8,0.4,1
S03871,Multiplication,4,12,0.6,3,16,0.8,4,16,0.8,4,16,0.8,4,10,0.5,2,20,1.0,5,18,0.9,4,10,0.5,2
S05543,Ordering Fractions,5,12,0.6,3,12,0.6,3,18,0.9,4,10,0.5,2,14,0.7,3,6,0.3,1,14,0.7,3,12,0.6,3
S03260,Subtraction,7,18,0.9,4,14,0.7,3,10,0.5,1,14,0.7,3,16,0.8,4,10,0.5,2,12,0.6,3,8,0.4,1
S05776,Ordering Fractions,5,6,0.3,1,4,0.2,1,14,0.7,3,10,0.5,2,4,0.2,1,0,0.0,0,8,0.4,2,4,0.2,1
S06221,Addition,0,0,0.0,0,0,0.0,0,12,0.6,3,8,0.4,2,8,0.4,2,12,0.6,3,8,0.4,2,12,0.6,3
S00765,Simplifying Fractions,6,12,0.6,2,14,0.7,3,16,0.8,4,6,0.3,1,16,0.8,4,8,0.4,1,6,0.3,1,8,0.4,2
S01023,Multiplication,4,18,0.9,4,18,0.9,4,16,0.8,3,16,0.8,4,16,0.8,4,20,1.0,5,16,0.8,4,16,0.8,3
S06321,Simplifying Fractions,6,8,0.4,2,12,0.6,3,16,0.8,4,20,1.0,5,16,0.8,4,12,0.6,3,4,0.2,1,4,0.2,1
S01274,Fraction to Decimal,3,10,0.5,2,16,0.8,4,16,0.8,3,8,0.4,2,16,0.8,4,10,0.5,2,10,0.5,2,18,0.9,4
S04295,Division,2,10,0.5,2,14,0.7,3,8,0.4,2,12,0.6,2,14,0.7,3,16,0.8,4,8,0.4,1,10,0.5,1
S03856,Ordering Fractions,5,12,0.6,3,14,0.7,3,18,0.9,4,20,1.0,5,14,0.7,3,8,0.4,2,16,0.8,4,10,0.5,2
S00736,Comparing Fractions,1,18,0.9,4,4,0.2,1,10,0.5,2,14,0.7,3,18,0.9,4,18,0.9,4,12,0.6,2,8,0.4,2
S01732,Subtraction,7,10,0.5,2,6,0.3,1,10,0.5,2,14,0.7,3,18,0.9,4,6,0.3,1,16,0.8,4,6,0.3,1
S03402,Ordering Fractions,5,18,0.9,4,8,0.4,1,12,0.6,3,12,0.6,3,8,0.4,1,8,0.4,1,8,0.4,2,10,0.5,2
S03185,Fraction to Decimal,3,8,0.4,2,10,0.5,2,8,0.4,2,4,0.2,0,8,0.4,2,20,1.0,5,8,0.4,1,14,0.7,3
S02952,Division,2,18,0.9,4,16,0.8,4,4,0.2,0,12,0.6,2,8,0.4,1,16,0.8,4,14,0.7,3,12,0.6,3
