weak_area,video_title,video_url,video_duration,difficulty_level,content_quality_score,student_suitability_score,recommendation_score
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,8.864,8.19
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,7.0,7.555
Fractions to Decimals,Converting Fractions to Decimals,https://youtu.be/UtHGpx_yp4U?si=tVG8XzrdqWBZp_hs,7:54,Intermediate,8.7,8.961,8.467
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,7.598,7.687
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,7.865,7.742
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,7.472,7.611
Fractions to Decimals,Mastering Fractions to Decimals,https://youtu.be/Mpv7AzOUOqg?si=dMjxnFwXU98D4MpH,9:06,Advanced,8.5,9.326,8.268
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,9.542,8.33
Division,Long Division for Grade 7,https://www.youtube.com/watch?v=J15nbHRpSiQ,19:57,Beginner,9.0,9.879,8.561
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,9.418,8.462
Addition,Add Numbers Faster,https://youtu.be/-x2yAOt_XFY?si=9WXX46kdbQDVhgO8,4:48,Advanced,8.8,9.068,8.313
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,8.712,8.029
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,7.402,7.552
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,7.878,7.676
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,8.052,8.164
Ordering Fractions,Introduction to Ordering Fractions,https://youtu.be/rL18ZMgCeKU?si=nixffH9YSe3hdGgm,12:04,Beginner,8.2,8.016,7.772
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,8.644,7.96
Simplifying Fractions,Reducing Fractions to Simplest Form,https://youtu.be/gVls1-gjIn0?si=vXNqJqUYBvTrC8xT,11:19,Advanced,8.5,8.315,7.844
Fractions to Decimals,Converting Fractions to Decimals,https://youtu.be/UtHGpx_yp4U?si=tVG8XzrdqWBZp_hs,7:54,Intermediate,8.7,8.487,8.187
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,8.738,8.283
Comparing Fractions,Mastering Comparing Fractions,https://youtu.be/PEqV48jMeXw?si=55QJueBjYIoAgbk0,11:09,Advanced,8.7,9.09,8.177
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,9.792,8.549
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,8.407,8.002
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,8.934,8.278
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,9.464,8.561
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,7.52,7.986
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,9.537,8.165
Fractions to Decimals,Convert any Fraction to a Decimal,https://youtu.be/do_IbHId2Os?si=WyTbHiTgY6AaEz_L,6:43,Beginner,8.4,8.183,8.139
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,7.298,7.69
Comparing Fractions,Comparing Fractions,https://www.youtube.com/watch?v=u_QTuWj107o,7:42,Beginner,8.9,9.432,8.817
Ordering Fractions,How to Order Fractions,https://www.youtube.com/watch?v=i2PfHDs88YE,6:33,Beginner,8.8,8.252,8.365
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,9.798,8.492
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,7.41,7.63
Addition,Add Numbers Faster,https://youtu.be/-x2yAOt_XFY?si=9WXX46kdbQDVhgO8,4:48,Advanced,8.8,9.057,8.503
Multiplication,Long Multiplication for Grade 7,https://www.youtube.com/watch?v=r85EMNbWMiE,21:00,Beginner,9.2,7.829,7.85
Ordering Fractions,Fraction Ordering,https://youtu.be/76s8ZzK87rA?si=F0Z4GtJkicWyq5_A,14:40,Intermediate,7.9,7.803,7.486
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,7.797,7.692
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,8.712,8.266
Subtraction,Subtracting Whole Numbers,https://www.youtube.com/watch?v=z4bTlVxU9C0,8:40,Beginner,8.7,9.454,8.734
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,9.951,8.622
Comparing Fractions,Introduction to Comparing Fractions,https://www.youtube.com/watch?v=KNdUJQ_qd4U,6:30,Beginner,8.3,7.473,7.939
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,8.027,7.473
Division,Long Division for Grade 7,https://www.youtube.com/watch?v=J15nbHRpSiQ,19:57,Beginner,9.0,7.186,7.619
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,8.296,8.048
Simplifying Fractions,Learn Fraction Simplification,https://youtu.be/IuB8yTJ0-hk?si=8-bnaKA-irwAua1m,6:20,Intermediate,8.0,9.407,8.432
Simplifying Fractions,Introduction to Simplifying Fractions,https://youtu.be/k73w_yZb9SM?si=sIcPAuwAjD24B_pV,7:30,Beginner,8.4,9.381,8.698
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,8.002,7.635
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,7.441,7.813
Fractions to Decimals,Convert any Fraction to a Decimal,https://youtu.be/do_IbHId2Os?si=WyTbHiTgY6AaEz_L,6:43,Beginner,8.4,9.025,8.365
Ordering Fractions,How to Order Fractions,https://www.youtube.com/watch?v=i2PfHDs88YE,6:33,Beginner,8.8,8.22,8.47
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,7.821,7.872
Comparing Fractions,Mastering Comparing Fractions,https://youtu.be/PEqV48jMeXw?si=55QJueBjYIoAgbk0,11:09,Advanced,8.7,9.8,8.551
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,8.293,7.559
Division,Long Division for Grade 7,https://www.youtube.com/watch?v=J15nbHRpSiQ,19:57,Beginner,9.0,7.42,7.753
Simplifying Fractions,Reducing Fractions to Simplest Form,https://youtu.be/gVls1-gjIn0?si=vXNqJqUYBvTrC8xT,11:19,Advanced,8.5,7.332,7.561
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,8.7,7.886
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,7.505,7.623
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,8.063,8.025
Subtraction,Multi-Digit Subtraction,https://youtu.be/Y6M89-6106I?si=6dT-roRnqAH6OHdl,6:56,Beginner,8.3,9.522,8.597
Ordering Fractions,Learn Ordering Fractions,https://youtu.be/QECYScPz4sA?si=qJW4l4BvbXma1lOP,10:15,Intermediate,8.5,7.807,7.762
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,8.679,7.989
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,7.687,7.743
Simplifying Fractions,Reducing Fractions to Simplest Form,https://youtu.be/gVls1-gjIn0?si=vXNqJqUYBvTrC8xT,11:19,Advanced,8.5,8.271,7.992
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,9.501,8.1
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,7.046,7.561
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,7.509,7.791
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,9.829,8.604
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,8.256,8.012
Simplifying Fractions,Introduction to Simplifying Fractions,https://youtu.be/k73w_yZb9SM?si=sIcPAuwAjD24B_pV,7:30,Beginner,8.4,9.586,8.625
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,7.43,7.674
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,8.196,8.108
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,9.903,8.863
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,8.012,7.598
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,9.673,8.67
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,9.916,8.958
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,8.637,8.429
Comparing Fractions,Introduction to Comparing Fractions,https://www.youtube.com/watch?v=KNdUJQ_qd4U,6:30,Beginner,8.3,7.09,7.745
Fractions to Decimals,Mastering Fractions to Decimals,https://youtu.be/Mpv7AzOUOqg?si=dMjxnFwXU98D4MpH,9:06,Advanced,8.5,8.922,8.143
Subtraction,Subtracting Whole Numbers,https://www.youtube.com/watch?v=z4bTlVxU9C0,8:40,Beginner,8.7,7.181,7.865
Ordering Fractions,How to Order Fractions,https://www.youtube.com/watch?v=i2PfHDs88YE,6:33,Beginner,8.8,8.477,8.333
Division,Division Basics for Beginners,https://youtu.be/InIKW_tfhs4?si=i3EqqM2A_6JHTQYh,3:44,Intermediate,7.8,9.545,8.214
Division,Division Basics for Beginners,https://youtu.be/InIKW_tfhs4?si=i3EqqM2A_6JHTQYh,3:44,Intermediate,7.8,9.609,8.19
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,9.74,8.174
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,7.208,7.644
Fractions to Decimals,How to Convert Fractions to Decimals,https://www.youtube.com/watch?v=guBVW5PiHLs&list=PPSV,8:29,Beginner,9.1,8.447,8.421
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,8.375,7.944
Addition,Add Numbers Faster,https://youtu.be/-x2yAOt_XFY?si=9WXX46kdbQDVhgO8,4:48,Advanced,8.8,8.228,8.198
Fractions to Decimals,Mastering Fractions to Decimals,https://youtu.be/Mpv7AzOUOqg?si=dMjxnFwXU98D4MpH,9:06,Advanced,8.5,7.476,7.624
Fractions to Decimals,Mastering Fractions to Decimals,https://youtu.be/Mpv7AzOUOqg?si=dMjxnFwXU98D4MpH,9:06,Advanced,8.5,7.011,7.363
Addition,Add Numbers Faster,https://youtu.be/-x2yAOt_XFY?si=9WXX46kdbQDVhgO8,4:48,Advanced,8.8,7.093,7.902
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,7.986,7.814
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,8.875,8.61
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,9.696,8.468
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,7.494,7.531
Fractions to Decimals,How to Convert Fractions to Decimals,https://www.youtube.com/watch?v=guBVW5PiHLs&list=PPSV,8:29,Beginner,9.1,9.527,8.856
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,8.478,7.832
Ordering Fractions,Introduction to Ordering Fractions,https://youtu.be/rL18ZMgCeKU?si=nixffH9YSe3hdGgm,12:04,Beginner,8.2,7.168,7.698
Subtraction,Multi-Digit Subtraction,https://youtu.be/Y6M89-6106I?si=6dT-roRnqAH6OHdl,6:56,Beginner,8.3,7.617,7.787
Fractions to Decimals,Convert any Fraction to a Decimal,https://youtu.be/do_IbHId2Os?si=WyTbHiTgY6AaEz_L,6:43,Beginner,8.4,9.104,8.549
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,9.752,8.41
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,9.928,8.589
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,7.507,7.986
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,7.826,7.377
Division,Division Basics for Beginners,https://youtu.be/InIKW_tfhs4?si=i3EqqM2A_6JHTQYh,3:44,Intermediate,7.8,7.264,7.53
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,9.408,8.497
Multiplication,Long Multiplication for Grade 7,https://www.youtube.com/watch?v=r85EMNbWMiE,21:00,Beginner,9.2,7.308,7.824
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,9.485,8.432
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,7.663,7.745
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,8.723,8.295
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,8.047,8.108
Simplifying Fractions,Introduction to Simplifying Fractions,https://youtu.be/k73w_yZb9SM?si=sIcPAuwAjD24B_pV,7:30,Beginner,8.4,9.559,8.659
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,8.046,7.837
Fractions to Decimals,Mastering Fractions to Decimals,https://youtu.be/Mpv7AzOUOqg?si=dMjxnFwXU98D4MpH,9:06,Advanced,8.5,7.66,7.834
Ordering Fractions,How to Order Fractions,https://www.youtube.com/watch?v=i2PfHDs88YE,6:33,Beginner,8.8,9.208,8.38
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,9.458,8.35
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,7.676,7.662
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,9.69,8.771
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,8.006,8.077
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,9.671,8.324
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,9.557,8.278
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,8.991,8.066
Comparing Fractions,Mastering Comparing Fractions,https://youtu.be/PEqV48jMeXw?si=55QJueBjYIoAgbk0,11:09,Advanced,8.7,7.996,7.903
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,9.961,8.965
Fractions to Decimals,Converting Fractions to Decimals,https://youtu.be/UtHGpx_yp4U?si=tVG8XzrdqWBZp_hs,7:54,Intermediate,8.7,8.325,8.223
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,7.614,7.813
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,7.784,8.184
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,7.165,7.618
Ordering Fractions,Learn Ordering Fractions,https://youtu.be/QECYScPz4sA?si=qJW4l4BvbXma1lOP,10:15,Intermediate,8.5,8.217,7.921
Division,Long Division with 2-Digit Divisors,https://youtu.be/HdU_rf7eMTI?si=Pr40TqBRgGXrpLxG,13:04,Intermediate,8.6,7.066,7.526
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,8.673,7.926
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,7.868,7.595
Addition,Add Numbers Faster,https://youtu.be/-x2yAOt_XFY?si=9WXX46kdbQDVhgO8,4:48,Advanced,8.8,7.095,7.841
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,8.086,7.686
Division,Long Division for Grade 7,https://www.youtube.com/watch?v=J15nbHRpSiQ,19:57,Beginner,9.0,8.796,8.296
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,7.219,7.964
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,9.454,8.791
Subtraction,Subtracting Whole Numbers,https://www.youtube.com/watch?v=z4bTlVxU9C0,8:40,Beginner,8.7,8.575,8.34
Simplifying Fractions,Reducing Fractions to Simplest Form,https://youtu.be/gVls1-gjIn0?si=vXNqJqUYBvTrC8xT,11:19,Advanced,8.5,9.855,8.533
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,9.13,8.217
Comparing Fractions,Introduction to Comparing Fractions,https://www.youtube.com/watch?v=KNdUJQ_qd4U,6:30,Beginner,8.3,9.439,8.444
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,9.089,8.584
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,7.338,7.546
Addition,Adding Large Numbers,https://youtu.be/T9asFgfN5bg?si=CI2z3n21hND5aFvQ,5:03,Intermediate,7.8,7.312,7.554
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,8.878,8.12
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,8.599,8.073
Comparing Fractions,Comparing Like Fractions,https://youtu.be/H3N5To5fO5U?si=Y3IFqQaqTK2GalSa,4:45,Intermediate,7.8,8.126,7.972
Comparing Fractions,Mastering Comparing Fractions,https://youtu.be/PEqV48jMeXw?si=55QJueBjYIoAgbk0,11:09,Advanced,8.7,7.167,7.521
Simplifying Fractions,Introduction to Simplifying Fractions,https://youtu.be/k73w_yZb9SM?si=sIcPAuwAjD24B_pV,7:30,Beginner,8.4,9.395,8.495
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,7.687,8.18
Division,Long Division with 2-Digit Divisors,https://youtu.be/HdU_rf7eMTI?si=Pr40TqBRgGXrpLxG,13:04,Intermediate,8.6,8.215,7.969
Simplifying Fractions,Introduction to Simplifying Fractions,https://youtu.be/k73w_yZb9SM?si=sIcPAuwAjD24B_pV,7:30,Beginner,8.4,7.249,7.914
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,8.103,7.753
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,9.671,8.456
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,7.841,7.712
Fractions to Decimals,How to Convert Fractions to Decimals,https://www.youtube.com/watch?v=guBVW5PiHLs&list=PPSV,8:29,Beginner,9.1,9.606,8.948
Ordering Fractions,Learn Ordering Fractions,https://youtu.be/QECYScPz4sA?si=qJW4l4BvbXma1lOP,10:15,Intermediate,8.5,9.807,8.285
Addition,Add Numbers Faster,https://youtu.be/-x2yAOt_XFY?si=9WXX46kdbQDVhgO8,4:48,Advanced,8.8,8.62,8.232
Fractions to Decimals,How to Convert Fractions to Decimals,https://www.youtube.com/watch?v=guBVW5PiHLs&list=PPSV,8:29,Beginner,9.1,7.234,8.064
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,9.214,8.512
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,7.919,7.772
Ordering Fractions,Introduction to Ordering Fractions,https://youtu.be/rL18ZMgCeKU?si=nixffH9YSe3hdGgm,12:04,Beginner,8.2,9.77,8.402
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,7.855,8.214
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,7.544,7.674
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,7.171,7.748
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,7.003,7.392
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,7.153,7.586
Division,Long Division for Grade 7,https://www.youtube.com/watch?v=J15nbHRpSiQ,19:57,Beginner,9.0,7.153,7.677
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,7.828,7.994
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,9.161,8.57
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,8.373,8.403
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,8.012,7.9
Division,Smart Long Division,https://youtu.be/HJYHNxS64f0?si=PJiPytkuwiCJhiuV,14:40,Advanced,8.9,9.466,8.34
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,8.836,8.496
Division,Division Basics for Beginners,https://youtu.be/InIKW_tfhs4?si=i3EqqM2A_6JHTQYh,3:44,Intermediate,7.8,8.606,7.941
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,9.814,8.522
Simplifying Fractions,Learn Fraction Simplification,https://youtu.be/IuB8yTJ0-hk?si=8-bnaKA-irwAua1m,6:20,Intermediate,8.0,8.844,8.024
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,7.207,7.926
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,7.378,7.726
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,7.116,7.708
Addition,Adding Large Numbers,https://youtu.be/T9asFgfN5bg?si=CI2z3n21hND5aFvQ,5:03,Intermediate,7.8,8.338,7.889
Comparing Fractions,Mastering Comparing Fractions,https://youtu.be/PEqV48jMeXw?si=55QJueBjYIoAgbk0,11:09,Advanced,8.7,8.68,7.961
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,7.659,7.959
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,8.671,7.929
Subtraction,Multi-Digit Subtraction,https://youtu.be/Y6M89-6106I?si=6dT-roRnqAH6OHdl,6:56,Beginner,8.3,8.839,8.319
Multiplication,Long Multiplication for Grade 7,https://www.youtube.com/watch?v=r85EMNbWMiE,21:00,Beginner,9.2,7.235,7.754
